STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT11,Burgenland,2023,,33.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT11,Burgenland,2024,,34.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2013,,17.6,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2014,,29.1,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2015,,30.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2016,,30.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2017,,32.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2018,,31.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2019,,32.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2020,,33.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2021,,33.9,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2022,,34.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2023,,36.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT12,Niederösterreich,2024,,38.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2013,,30.6,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2014,,39.1,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2015,,39.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2016,,39.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2017,,42.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2018,,42.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2019,,42.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2020,,42.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2021,,44.5,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2022,,45.6,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2023,,46.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT13,Wien,2024,,46.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2013,,17.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2014,,28.8,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2015,,28.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2016,,29.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2017,,29.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2018,,30.6,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2019,,30.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2020,,32.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2021,,33.6,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2022,,33.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2023,,33.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT21,Kärnten,2024,,35.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2013,,17.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2014,,25.7,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2015,,26.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2016,,27.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2017,,27.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2018,,28.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2019,,30.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2020,,31.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2021,,30.2,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2022,,32.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2023,,33.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT22,Steiermark,2024,,33.6,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2013,,17.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2014,,26.7,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2015,,27.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2016,,29.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2017,,29.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2018,,29.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2019,,31.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2020,,31.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2021,,30.5,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2022,,32.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2023,,33.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT31,Oberösterreich,2024,,33.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2013,,21.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2014,,29.8,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2015,,30.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2016,,31.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2017,,31.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2018,,32.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2019,,32.8,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2020,,32.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2021,,33.6,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2022,,33.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2023,,36.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT32,Salzburg,2024,,34.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2013,,19.1,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2014,,27.0,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2015,,26.4,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2016,,28.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2017,,29.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2018,,29.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2019,,29.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2020,,31.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2021,,31.4,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2022,,31.9,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2023,,32.2,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT33,Tirol,2024,,33.3,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT34,Vorarlberg,2013,,19.0,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT34,Vorarlberg,2014,,25.6,,b,break in time series,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT34,Vorarlberg,2015,,26.5,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT34,Vorarlberg,2016,,27.7,,,,,
dataflow,ESTAT:TGS00109(1.0),Persons aged 25-64 with tertiary educational attainment level by sex and NUTS 2 region,A,Annual,PC,Percentage,ED5-8,Tertiary education (levels 5-8),Y25-64,From 25 to 64 years,T,Total,AT34,Vorarlberg,2017,,28.1,,,,,
