STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sectperf,Sector of performance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2013,,3.54,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2015,,3.63,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2017,,3.6,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2019,,3.67,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2021,,4.04,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT13,Wien,2023,,3.95,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2013,,2.83,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2015,,3.13,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2017,,2.93,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2019,,3.23,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2021,,2.98,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT21,Kärnten,2023,,3.39,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2013,,4.85,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2015,,5.11,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2017,,4.88,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2019,,5.14,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2021,,5.17,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT22,Steiermark,2023,,5.31,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2013,,3.14,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2015,,3.15,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2017,,3.48,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2019,,3.51,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2021,,3.58,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT31,Oberösterreich,2023,,3.52,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2013,,1.49,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2015,,1.5,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2017,,1.6,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2019,,1.7,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2021,,1.75,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT32,Salzburg,2023,,1.6,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2013,,3.12,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2015,,3.09,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2017,,2.9,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2019,,2.84,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2021,,3.21,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT33,Tirol,2023,,2.97,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2013,,1.64,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2015,,1.77,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2017,,1.77,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2019,,1.82,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2021,,1.86,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT34,Vorarlberg,2023,,1.93,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),ATZZ,Extra-Regio NUTS 2,2013,,0,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,,1.47,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,,1.62,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,,1.7,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,,1.9,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,,2.04,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,,2.25,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,,2.33,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,,2.49,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,,2.32,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,,2.45,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2013,,2.68,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2014,,3.02,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2015,,3.12,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2016,,3.24,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2017,,3.45,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2018,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2019,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2020,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2021,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2022,,4.13,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE21,Prov. Antwerpen,2023,,4.15,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2013,,1.3,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2014,,1.32,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2015,,1.36,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2016,,1.49,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2017,,1.58,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2018,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2019,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2020,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2021,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2022,,1.82,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE22,Prov. Limburg (BE),2023,,1.94,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2013,,2.68,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2014,,2.5,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2015,,2.49,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2016,,2.73,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2017,,2.7,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2018,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2019,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2020,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2021,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2022,,3.45,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE23,Prov. Oost-Vlaanderen,2023,,3.45,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2013,,3.98,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2014,,4.16,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2015,,4.22,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2016,,4,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2017,,4.21,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2018,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2019,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2020,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2021,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2022,,4.84,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE24,Prov. Vlaams-Brabant,2023,,4.94,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2013,,1.37,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2014,,1.06,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2015,,1.12,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2016,,1.2,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2017,,1.33,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2018,,,,,,C,confidential
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),BE25,Prov. West-Vlaanderen,2019,,,,,,C,confidential
